Fecha;Hora del llamado;Hora de primera respuesta;Tipo de emergencias;Dirección;1cia;2cia;3cia;4cia;Situación;Hora de término de la emergencia;Tiempo respuesta;Tiempo en controlar emergencia;LATITUDE;LONGITUDE;Detalle unidades
2021-05-21 00:00:00;13:34:00;13:41:00;10.1;Villa Genesis, calle Julio Nuñez Alvarez, block 6 San Antonio, Chile;0;1;0;0;Fuego en vehiculo particular;14:30:00;7;49;-33,5610508;-71,6061946;
2021-05-22 00:00:00;18:59:00;19:02:00;10.4.1;Antonio Nuñez de Fonseca, frente a puerto Panul San Antonio, Chile;1;1;0;0;Choque de vehiculo menor;19:10:00;3;8;-33,5810681;-71,6195958;
2021-05-22 00:00:00;23:11:00;23:13:00;10.4.1;Avenida Barros Luco, frente al estadio municipal San Antonio, Chile;1;0;1;0;Colision de dos vehiculos particulares;23:37:00;2;24;-33,6037551;-71,6144939;
2021-05-23 00:00:00;13:33:00;13:36:00;10.5;Avenida Barros Luco, servicentro Shell San Antonio, Chile;0;0;1;0;Derrame de combustible desde vehiculo menor;13:46:00;3;10;-33,5904;-71,6132;
2021-05-23 00:00:00;18:56:00;19:21:00;10.2.1;Camino a Cartagena San Antonio, Chile;0;1;0;0;Quema de basura en recinto privado;19:39:00;25;18;-33,5617914;-71,5996719;
2021-05-24 00:00:00;14:13:00;14:16:00;10.4.1;Balmaceda, Hermanos Carrera San Antonio, Chile;0;1;0;0;Colision de vehiculo menor con motorista;14:42:00;3;26;-33,5782917;-71,6091493;
2021-05-25 00:00:00;22:26:00;22:56:00;10.2.1;Autopista del sol, pasado Sepultura San Antonio, Chile;0;0;0;1;Inflamacion en animita;23:07:00;30;11;-33,6691757;-71,1312406;
2021-05-26 00:00:00;11:09:00;11:16:00;10.3.1;Puente Arevalo San Antonio, Chile;0;1;0;0;Perro empantanado en estero;12:31:00;7;75;-33,5749308;-71,6012097;
2021-05-26 00:00:00;12:51:00;12:54:00;10.4.1;Avenida Barros Luco con Mario Martinez San Antonio, Chile;1;1;0;0;Colision de dos vehiculos menores;13:16:00;3;22;-33,5968539;-71,6134377;
2021-05-26 00:00:00;17:14:00;17:21:00;10.4.2;Sector Cementerio, laguna San Antonio, Chile;1;0;1;0;Colision de vehiculo particular con taxi colectivo;18:00:00;7;39;-33,5755966;-71,6189824;
2021-05-26 00:00:00;19:02:00;19:08:00;10.4.1;Rotonda de Curico San Antonio, Chile;1;0;1;0;Colision de dos vehiculos menores;19:25:00;6;17;-33,6013032;-71,6095951;
2021-05-26 00:00:00;19:43:00;19:51:00;10.4.1;Antonio Nuñez de Fonseca, frente a puerto Panul San Antonio, Chile;1;1;0;0;Vehiculo choca contra poste;19:59:00;8;8;-33,5810681;-71,6195958;
2021-05-27 00:00:00;20:08:00;20:17:00;10.2.1;Calle central San Antonio, Chile;1;0;0;0;Quema de pastizal y basura;21:19:00;9;62;-33,588476;-71,6144817;
2021-05-28 00:00:00;20:47:00;20:58:00;10.3.1;Lautaro con Luis Reuss San Antonio, Chile;0;1;0;0;Cae porton sobre trabajador (sodimac);21:09:00;11;11;-33,5881402;-71,6087876;
2021-05-28 00:00:00;21:59:00;22:06:00;10.4.2;Avenida Chile con Baquedano San Antonio, Chile;1;0;1;0;Colision de vehiculos menores;22:16:00;7;10;-33,6175965;-71,6080999;
2021-05-29 00:00:00;03:50:00;03:59:00;10.1;Las industrias, San Juan San Antonio, Chile;0;0;0;1;Fuego en dos camiones;05:44:00;9;105;-33,6407618;-71,5728413;
2021-05-29 00:00:00;18:42:00;18:52:00;10.0;San Antonio de las bodegas San Antonio, Chile;1;1;0;0;Incendio estructural;19:42:00;10;50;-33,5717114;-71,6040106;
2021-05-30 00:00:00;01:07:00;01:17:00;10.0;San Antonio de las bodegas San Antonio, Chile;0;1;0;0;Fuego en vivienda;02:21:00;10;64;-33,5717114;-71,6040106;
2021-05-31 00:00:00;12:34:00;12:43:00;10.0;Manuel Bulnes San Antonio, Chile;1;1;0;0;Incendio compartimental;13:02:00;9;19;-33,5685048;-71,6087257;
2021-11-02 00:00:00;08:29:00;08:33:00;10.2.1;Aromos con Avenida Chile San Antonio, Chile;0;0;1;0;20 metros de pastizal;08:49:00;4;16;-33,6093926;-71,6084758;B-3
2021-11-02 00:00:00;09:06:00;09:14:00;10.4.1;Marquez de la plata con Rosales, cerro alegre San Antonio, Chile;1;1;0;0;Desbarrancamiento de vehiculo menor;09:24:00;8;10;-33,5755149;-71,616782;R-1/B-2
2021-11-03 00:00:00;00:13:00;00:22:00;10.8;Domingo Garcia Huidobro San Antonio, Chile;1;0;0;0;Apoyo a SAMU;00:54:00;9;32;-33,6107342;-71,6014066;R-1
2021-11-03 00:00:00;21:51:00;21:54:00;10.5;IMSA San Antonio, Chile;1;0;1;0;Olor a alcohol desnaturalizado al 70%;23:06:00;3;72;-33,6015275;-71,6144706;B-1/H-3
